门店名称,负责人,门店ID,采集时刻,今日营业额(元),今日有效订单量,今日点金花费(元),今日全站推广花费(元),今日铂金推广花费(元),今日营销魔方花费(元),今日涨单宝花费(元),今日其他推广花费(元),今日曝光,今日点击,今日点击率(%),今日平均点击价(元),今日优惠券消耗(元),昨日同刻累计花费(元),昨日全天花费(元),基础出价(元),建议出价(元),商圈平均出价(元),最终出价范围,搜索加价(元),推广手段,日预算(元),预算已用(%),账户余额(元),计划状态,综合排名,搜索排名
厨邻里社区食堂(东北菜）,韦炼,31990667,10:00,127.38,8,0.0,,,,,,3,0,0.0,0.0,0.0,0.04,80.0,0.1,0.5,0.8,0.1~1.05,0.3,顾客、品类、搜索,80.0,0.0,45.59,投放中,0,0
坨坨牛肉(烧菜·盖饭·拌面·花径路店),韦炼,27458091,10:00,110.1,6,5.43,,,,,,401,15,3.74,0.36,0.96,7.99,19.33,0.1,0.6,0.8,0.1~0.8,0.5,顾客、品类、搜索,50.0,10.9,672.62,投放中,0,0
杨记烧腊（拌卤菜-套饭-大悦城店）,韦炼,20539153,10:00,33.56,1,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.9,0.3~0.7,0.2,顾客、品类、搜索,50.0,0.0,,离线,,
欢喜麻辣烫,韦炼,28704739,10:00,5.38,1,2.36,,,0.0,,,136,4,2.94,0.59,0.0,1.47,23.08,0.2,0.5,0.8,0.2~0.9,0.4,顾客、品类、搜索,50.0,4.7,46.7,投放中,0,0
漾濞卷粉（二分店）,韦炼,31401195,10:00,0.0,0,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,1.0,0.35~2.4,0.7,顾客、品类、搜索,50.0,0.0,41.46,投放中,0,0
老罗家烧烤大排档（南虹路店）,韦炼,6142553,10:00,748.59,27,0.0,,,,,,5,0,0.0,0.0,0.0,0.01,50.0,0.3,1.5,1.0,0.13~1.86,0.3,时间、顾客、区域类型、品类、客单价、搜索,50.0,0.0,,离线,,
食禄记（牛肉面.豌杂面）,韦炼,32728790,10:00,0.0,0,0.0,,,,,,1,0,0.0,0.0,0.0,0.01,75.0,0.2,0.6,0.8,0.2~1.0,0.5,顾客、品类、搜索,75.0,0.0,369.87,投放中,0,0
鹏鹏砂锅地摊火锅,韦炼,27146186,10:00,0.0,0,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,1.0,0.3~1.0,0.3,时间、顾客、品类、客单价、搜索,50.0,0.0,,离线,,
家福居汉餐·盖浇饭·小炒,颜毓恒,11805919,10:00,0.0,0,0.0,,,,,,4,0,0.0,0.0,0.0,0.06,37.86,0.1,2.5,0.8,0.1~0.8,0.3,时间、顾客、品类、搜索,50.0,0.0,,离线,,
广东石磨肠粉（祥和里店）,颜毓恒,4236843,10:00,776.14,51,0.0,,,,22.9,,0,0,0.0,0.0,0.0,0.0,0.0,0.2,2.8,1.4,0.2~1.0,0.3,时间、顾客、品类、搜索,50.0,0.0,72.28,投放中,0,0
